cell id,cell type,column id
720575940607182466,T3,52
720575940607182722,Tm2,307
720575940607184329,C3,87
720575940607194290,T4c,579
720575940607194546,L1,60
720575940607197826,T4a,760
720575940607199580,C2,680
720575940607199945,Tm3,583
720575940607202057,C3,676
720575940607202178,L5,701
720575940607204530,T5b,653
720575940607211977,L4,not assigned
720575940607218780,Mi9,177
720575940607219669,L2,679
720575940607221426,C3,395
720575940607223218,Tm20,757
720575940607227010,L2,666
720575940607228629,Mi1,780
720575940607235593,C3,93
720575940607248514,Tm3,714
720575940607251292,Tm9,341
720575940607258891,Tm20,257
720575940607259228,T5c,773
720575940607265237,L4,586
720575940607265410,T2a,744
720575940607270018,Mi4,273
720575940607278345,T2a,303
720575940607279452,Mi9,542
720575940607280514,L5,201
720575940607283977,T4a,178
720575940607284098,Tm3,111
720575940607284610,L3,410
720575940607286146,Mi4,568
720575940607287170,Tm4,99
720575940607288843,T5d,16
720575940607291314,Tm9,633
720575940607294473,Mi9,246
720575940607304066,Mi4,753
720575940607317634,Mi9,573
720575940607321353,T4a,261
720575940607327106,L5,432
720575940607332226,Tm20,300
720575940607332873,C3,242
720575940607340555,Tm3,643
720575940607342210,Tm4,39
720575940607344306,L5,96
720575940607344770,Tm21,421
720575940607353801,T4b,686
720575940607354754,Mi9,405
720575940607361545,T4b,369
720575940607365129,Tm3,417
720575940607368201,L4,231
720575940607381257,T2,416
720575940607382146,Mi4,598
720575940607385283,Mi1,28
720575940607392898,L3,403
720575940607446658,L5,252
720575940607463369,T4a,217
720575940607469746,Tm3,35
720575940607471538,C3,602
720575940607472050,Tm3,114
720575940607476174,Mi4,420
720575940607480962,Tm4,465
720575940607489970,Tm1,146
720575940607493065,L1,690
720575940607506050,T1,371
720575940607508610,Tm3,not assigned
720575940607509170,Mi4,185
720575940607513730,L3,771
720575940607521458,L2,545
720575940607523350,Mi9,220
720575940607527602,Tm3,519
720575940607560370,L1,4
720575940607583939,T5b,85
720575940607590322,L4,113
720575940607594197,Tm4,764
720575940607606294,Mi4,740
720575940607613653,Mi4,781
720575940607614933,T3,243
720575940607621980,Mi9,85
720575940607627868,T5c,510
720575940607632306,T4c,728
720575940607638723,L3,325
720575940607641801,T1,234
720575940607643570,T1,26
720575940607648178,L3,463
720575940607662037,T4d,698
720575940607670229,Tm20,450
720575940607674034,Tm3,451
720575940607674754,L1,319
720575940607677826,Tm1,427
720575940607685387,T5a,552
720575940607688393,T5b,380
720575940607693442,L4,512
720575940607702876,T4c,457
720575940607710421,Tm3,630
720575940607730780,Mi1,29
720575940607738825,L4,277
720575940607755721,L1,477
720575940607757257,L5,611
720575940607762354,T5c,541
720575940607781129,Mi4,625
720575940607784405,T4c,306
720575940607786251,T5c,661
720575940607786882,T1,277
720575940607787138,Mi1,30
720575940607807177,L1,251
720575940607810505,L2,469
720575940607814106,T4a,470
720575940607814665,T4a,501
720575940607815346,Tm1,285
720575940607827657,T5c,563
720575940607829122,L2,94
720575940607856818,L2,702
720575940607858889,Mi9,298
720575940607859804,T5b,552
720575940607870386,T1,583
720575940607880028,T5b,not assigned
720575940607889609,Tm9,551
720575940607890121,R8,434
720575940607898034,R8,283
720575940607902682,T4a,459
720575940607908700,Mi9,261
720575940607909554,R8,590
720575940607930889,T2a,79
720575940607931401,Tm1,705
720575940607936898,C3,615
720575940607941298,Tm1,581
720575940607955723,T4c,362
720575940607961283,T4d,324
720575940607963826,L3,430
720575940607972956,T2a,193
720575940607985330,L4,423
720575940607987330,T2a,433
720575940607987395,T4b,56
720575940608001219,T1,732
720575940608002326,Mi9,481
720575940608004035,T3,159
720575940608009750,Mi4,481
720575940608020931,T5d,5
720575940608023509,T2a,not assigned
720575940608026390,Mi9,416
720575940608029826,C2,190
720575940608039090,Mi9,122
720575940608041923,T5d,606
720575940608043954,C3,385
720575940608048770,T1,173
720575940608048818,R7,not assigned
720575940608049419,T4b,156
720575940608057353,Tm9,384
720575940608057730,C2,152
720575940608058889,Tm9,562
720575940608061826,C3,119
720575940608062165,Tm3,not assigned
720575940608062594,T1,292
720575940608063106,L1,292
720575940608066690,R7,not assigned
720575940608069298,C2,293
720575940608069554,C2,68
720575940608071004,T3,53
720575940608074162,T4d,not assigned
720575940608081842,T1,233
720575940608085513,T3,443
720575940608085771,T4c,61
720575940608087474,L2,726
720575940608093106,L2,525
720575940608112139,Tm21,77
720575940608115418,T4b,213
720575940608117699,Tm9,750
720575940608119770,T4b,766
720575940608129628,Tm2,31
720575940608130499,Tm21,634
720575940608133042,T3,695
720575940608144050,L1,140
720575940608148489,Tm1,203
720575940608157058,C2,507
720575940608157635,Mi1,31
720575940608158082,T1,751
720575940608161410,L2,231
720575940608162652,T5b,143
720575940608163849,L3,118
720575940608164994,L1,301
720575940608173916,T4b,741
720575940608176818,C3,34
720575940608177330,L1,34
720575940608177586,T1,34
720575940608181515,L1,132
720575940608188338,Mi9,5
720575940608195339,Tm1,582
720575940608206770,L5,505
720575940608211780,Mi1,32
720575940608214852,Tm3,487
720575940608215426,R8,598
720575940608226261,L1,116
720575940608239026,R8,340
720575940608244316,T5d,426
720575940608246281,T5d,564
720575940608247426,Mi9,673
720575940608252427,T2,469
720575940608253379,T4d,509
720575940608253788,L3,764
720575940608253961,T5c,255
720575940608257754,T4a,213
720575940608262106,T4a,77
720575940608262980,C2,171
720575940608276233,T5b,528
720575940608278281,Mi1,33
720575940608278364,C3,153
720575940608278537,T4b,423
720575940608288523,T4a,758
720575940608295433,Tm9,251
720575940608295726,Tm9,108
720575940608302002,C3,438
720575940608302172,Mi9,401
720575940608305500,T4a,466
720575940608305756,Tm2,188
720575940608309771,Mi1,34
720575940608310914,C2,751
720575940608313948,T3,458
720575940608315740,T2,579
720575940608317362,T4c,563
720575940608318850,Mi4,791
720575940608326274,Tm3,494
720575940608327435,T2,405
720575940608334345,T5b,279
720575940608334770,Mi9,665
720575940608337522,L5,606
720575940608337842,Mi9,350
720575940608343305,T5c,763
720575940608343730,Mi9,794
720575940608344789,Mi9,496
720575940608350731,T5c,326
720575940608352690,T4b,98
720575940608356617,Tm21,521
720575940608361737,Tm1,214
720575940608362076,T4c,467
720575940608363100,Tm4,474
720575940608363531,T4a,198
720575940608365746,R8,not assigned
720575940608368050,R7,not assigned
720575940608368306,T2,13
720575940608373769,Tm3,654
720575940608378121,T5c,not assigned
720575940608382556,T3,520
720575940608384860,Tm4,630
720575940608386827,T5a,152
720575940608387442,L3,333
720575940608389385,T2a,28
720575940608389724,T2,537
720575940608391691,T4a,44
720575940608394249,T4c,299
720575940608400139,T5b,703
720575940608403651,Tm20,8
720575940608404235,T5a,703
720575940608404747,T5c,538
720575940608405515,T5d,731
720575940608408282,T4c,491
720575940608410307,C3,749
720575940608412508,C3,753
720575940608416092,T2a,not assigned
720575940608430091,Tm3,477
720575940608431061,Mi1,36
720575940608442379,T5d,102
720575940608453077,Tm2,158
720575940608472797,T5b,58
720575940608486921,T5d,629
720575940608492299,T5b,370
720575940608498955,T4a,440
720575940608506325,T1,379
720575940608509276,L3,272
720575940608511068,T4a,525
720575940608516107,Tm2,639
720575940608519689,T4c,214
720575940608522761,L1,363
720575940608528341,T5a,687
720575940608534281,T2a,431
720575940608535876,T5d,630
720575940608543580,Tm9,235
720575940608549385,T3,541
720575940608553155,Mi1,37
720575940608555868,Mi4,689
720575940608559964,L2,560
720575940608562185,T5d,495
720575940608565003,L5,376
720575940608568841,T3,not assigned
720575940608573707,L3,711
720575940608585993,T4c,790
720575940608595209,L4,364
720575940608597084,L3,303
720575940608603331,C2,177
720575940608616149,Tm20,58
720575940608618197,T4a,114
720575940608623115,T4a,172
720575940608625419,C2,310
720575940608632547,L5,608
720575940608636169,Mi9,767
720575940608639602,Mi4,524
